query,prompt,style,persona
"area:
  type: area
  value: Lasalle
entities:
- id: 0
  is_area: true
  name: foreign mission
  type: nwr
- id: 1
  is_area: true
  name: rock
  properties:
  - name: name
    operator: '~'
    value: ""hner Stra\xDFe""
  type: nwr
- id: 2
  is_area: true
  name: canal
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 2 mi
- source: 0
  target: 2
  type: dist
  value: 2 mi
","Generate one or more sentences simulating a user using a natural language interface for an AI geolocation search tool that finds locations based on descriptions of objects and their spatial relations. Each object has one main descriptor and optionally additional properties. All properties must be put in a logical connection to the object.
Mention the area, cover all entities and their respective properties, and describe the respective relations. Stick to the descriptions of entities and relations provided and don’t add anything. Stick to the values of each relation. Distances always refer to a maximum distance. Vary your phrasing. Do not affirm this request and return nothing but the answer.

 ==Persona==
political journalist 

 ==Style==
in perfect grammar and clear wording

==Other specifications==
The text should contain a small amount of typos and grammar mistakes.

==Input==
Search area:
- Lasalle
Objects:
- Obj. 0: foreign mission
- Obj. 1: rock | Properties -> name: ends with the letters ""hner Straße""
- Obj. 2: canal
Distances:
- All objects are in a radius of 2 miles.

Please take your time and make sure that all the provided information is contained in the sentence.",in perfect grammar and clear wording,political journalist
"area:
  type: area
  value: Ongudayskiy Rayon
entities:
- id: 0
  is_area: true
  name: racetrack
  type: nwr
","Generate one or more sentences simulating a user using a natural language interface for an AI geolocation search tool that finds locations based on descriptions of objects and their spatial relations. Each object has one main descriptor and optionally additional properties. All properties must be put in a logical connection to the object.
Mention the area, cover all entities and their respective properties, and describe the respective relations. Stick to the descriptions of entities and relations provided and don’t add anything. Stick to the values of each relation. Distances always refer to a maximum distance. Vary your phrasing. Do not affirm this request and return nothing but the answer.

 ==Persona==
expert fact checker 

 ==Style==
with very precise wording, short, to the point

==Other specifications==
The text should contain a large amount of typos and grammar mistakes.

==Input==
Search area:
- Ongudayskiy Rayon
Objects:
- Obj. 0: racetrack

Please take your time and make sure that all the provided information is contained in the sentence.","with very precise wording, short, to the point",expert fact checker
"area:
  type: area
  value: Sirdaryo Region
entities:
- id: 0
  is_area: true
  name: ice road
  type: nwr
- id: 1
  is_area: false
  name: allotment house
  properties:
  - name: house number
    operator: '='
    value: '10873'
  - name: building material
    operator: '='
    value: pressed_soil_blocks
  type: nwr
- id: 2
  is_area: true
  name: volcanic vent
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 700 in
- source: 1
  target: 2
  type: dist
  value: 0.07 mi
","Generate one or more sentences simulating a user using a natural language interface for an AI geolocation search tool that finds locations based on descriptions of objects and their spatial relations. Each object has one main descriptor and optionally additional properties. All properties must be put in a logical connection to the object.
Mention the area, cover all entities and their respective properties, and describe the respective relations. Stick to the descriptions of entities and relations provided and don’t add anything. Stick to the values of each relation. Distances always refer to a maximum distance. Vary your phrasing. Do not affirm this request and return nothing but the answer.

 ==Persona==
investigative journalist 

 ==Style==
in perfect grammar and clear wording

==Other specifications==
The text should contain a large amount of typos.

==Input==
Search area:
- Sirdaryo Region
Objects:
- Obj. 0: ice road
- Obj. 1: allotment house | Properties -> house number: 10873, building material: pressed_soil_blocks
- Obj. 2: volcanic vent
Distances:
- The ice road is no more than seven hundred inches from the allotment house
- The allotment house is at least 0.07 miles from the volcanic vent

Please take your time and make sure that all the provided information is contained in the sentence.",in perfect grammar and clear wording,investigative journalist
"area:
  type: area
  value: Hafendorf, Styria, Austria
entities:
- id: 0
  is_area: true
  name: american football field
  type: nwr
- id: 1
  is_area: false
  name: tattoo parlour
  properties:
  - name: house number
    operator: '='
    value: 94A
  - name: brand
    operator: '~'
    value: CDC
  type: nwr
relations:
- source: 0
  target: 1
  type: contains
","Generate one or more sentences simulating a user using a natural language interface for an AI geolocation search tool that finds locations based on descriptions of objects and their spatial relations. Each object has one main descriptor and optionally additional properties. All properties must be put in a logical connection to the object.
Mention the area, cover all entities and their respective properties, and describe the respective relations. Stick to the descriptions of entities and relations provided and don’t add anything. Stick to the values of each relation. Distances always refer to a maximum distance. Vary your phrasing. Do not affirm this request and return nothing but the answer.

 ==Persona==
hobby fact checker 

 ==Style==
as a chain of thoughts split into multiple sentences

==Input==
Search area:
- Hafendorf, Styria, Austria
Objects:
- Obj. 0: american football field
- Obj. 1: tattoo parlour | Properties -> house number: 94A, brand: ends with the letters ""CDC""
Distances:
- The tattoo parlour is inside the american football field

Please take your time and make sure that all the provided information is contained in the sentence.",as a chain of thoughts split into multiple sentences,hobby fact checker
"area:
  type: area
  value: Khabarovsk Krai
entities:
- id: 0
  is_area: true
  name: tram tracks
  type: nwr
","Generate one or more sentences simulating a user using a natural language interface for an AI geolocation search tool that finds locations based on descriptions of objects and their spatial relations. Each object has one main descriptor and optionally additional properties. All properties must be put in a logical connection to the object.
Mention the area, cover all entities and their respective properties, and describe the respective relations. Stick to the descriptions of entities and relations provided and don’t add anything. Stick to the values of each relation. Distances always refer to a maximum distance. Vary your phrasing. Do not affirm this request and return nothing but the answer.

 ==Persona==
hobby fact checker 

 ==Style==
with very precise wording, short, to the point

==Input==
Search area:
- Khabarovsk Krai
Objects:
- Obj. 0: tram tracks

Please take your time and make sure that all the provided information is contained in the sentence.","with very precise wording, short, to the point",hobby fact checker
"area:
  type: area
  value: ""Soyatit\xE1n, Mexico""
entities:
- id: 0
  is_area: false
  name: estate agent
  type: nwr
- id: 1
  is_area: false
  name: dentist
  properties:
  - name: brand name
    operator: '~'
    value: Fix Foto digital
  type: nwr
- id: 2
  is_area: false
  name: parking ticket vending machine
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 97816 cm
- source: 1
  target: 2
  type: dist
  value: 100 m
","Generate one or more sentences simulating a user using a natural language interface for an AI geolocation search tool that finds locations based on descriptions of objects and their spatial relations. Each object has one main descriptor and optionally additional properties. All properties must be put in a logical connection to the object.
Mention the area, cover all entities and their respective properties, and describe the respective relations. Stick to the descriptions of entities and relations provided and don’t add anything. Stick to the values of each relation. Distances always refer to a maximum distance. Vary your phrasing. Do not affirm this request and return nothing but the answer.

 ==Persona==
OSINT beginner 

 ==Style==
as a chain of thoughts split into multiple sentences

==Other specifications==
The text should contain a medium amount of typos and grammar mistakes.

==Input==
Search area:
- Soyatitán, Mexico
Objects:
- Obj. 0: estate agent
- Obj. 1: dentist | Properties -> brand name:  ""Fix Foto digital""
- Obj. 2: parking ticket vending machine
Distances:
- The estate agent is 97816 cm away from the dentist
- Use this term to describe the spatial relation between the dentist and the parking ticket vending machine (similar to ""X is _ Y""): near

Please take your time and make sure that all the provided information is contained in the sentence.",as a chain of thoughts split into multiple sentences,OSINT beginner
"area:
  type: area
  value: Fellering, Grand-Est, France
entities:
- id: 0
  is_area: false
  name: public seating
  type: nwr
","Generate one or more sentences simulating a user using a natural language interface for an AI geolocation search tool that finds locations based on descriptions of objects and their spatial relations. Each object has one main descriptor and optionally additional properties. All properties must be put in a logical connection to the object.
Mention the area, cover all entities and their respective properties, and describe the respective relations. Stick to the descriptions of entities and relations provided and don’t add anything. Stick to the values of each relation. Distances always refer to a maximum distance. Vary your phrasing. Do not affirm this request and return nothing but the answer.

 ==Persona==
investigative journalist 

 ==Style==
as a chain of thoughts split into multiple sentences

==Input==
Search area:
- Fellering, Grand-Est, France
Objects:
- Obj. 0: public seating

Please take your time and make sure that all the provided information is contained in the sentence.",as a chain of thoughts split into multiple sentences,investigative journalist
"area:
  type: bbox
  value: ''
entities:
- id: 0
  is_area: false
  name: motorcycle rental
  type: nwr
- id: 1
  is_area: true
  name: civic building
  properties:
  - name: civic building
  - name: building levels
    operator: '='
    value: '1'
  type: nwr
- id: 2
  is_area: false
  name: ferry platform
  type: nwr
","Generate one or more sentences simulating a user using a natural language interface for an AI geolocation search tool that finds locations based on descriptions of objects and their spatial relations. Each object has one main descriptor and optionally additional properties. All properties must be put in a logical connection to the object.
Mention the area, cover all entities and their respective properties, and describe the respective relations. Stick to the descriptions of entities and relations provided and don’t add anything. Stick to the values of each relation. Distances always refer to a maximum distance. Vary your phrasing. Do not affirm this request and return nothing but the answer.

 ==Persona==
expert fact checker 

 ==Style==
in simple language

==Other specifications==
The text should contain a medium amount of typos and grammar mistakes.

==Input==
Objects:
- Obj. 0: motorcycle rental
- Obj. 1: civic building | Properties -> civic building, building levels: 1
- Obj. 2: ferry platform

Please take your time and make sure that all the provided information is contained in the sentence.",in simple language,expert fact checker
"area:
  type: area
  value: ""B\xE1tonyterenyei J\xE1r\xE1s, Hungary""
entities:
- id: 0
  is_area: false
  name: stairway
  properties:
  - name: overpass
  - name: metro tunnel
  type: nwr
","Generate one or more sentences simulating a user using a natural language interface for an AI geolocation search tool that finds locations based on descriptions of objects and their spatial relations. Each object has one main descriptor and optionally additional properties. All properties must be put in a logical connection to the object.
Mention the area, cover all entities and their respective properties, and describe the respective relations. Stick to the descriptions of entities and relations provided and don’t add anything. Stick to the values of each relation. Distances always refer to a maximum distance. Vary your phrasing. Do not affirm this request and return nothing but the answer.

 ==Persona==
political journalist 

 ==Style==
as a chain of thoughts split into multiple sentences

==Input==
Search area:
- Bátonyterenyei Járás, Hungary
Objects:
- Obj. 0: stairway | Properties -> overpass, metro tunnel

Please take your time and make sure that all the provided information is contained in the sentence.",as a chain of thoughts split into multiple sentences,political journalist
"area:
  type: area
  value: Chak Azam Saffo, Pakistan
entities:
- id: 0
  is_area: true
  name: courthouse
  type: nwr
- id: 1
  is_area: false
  name: observation tower
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 7400 in
","Generate one or more sentences simulating a user using a natural language interface for an AI geolocation search tool that finds locations based on descriptions of objects and their spatial relations. Each object has one main descriptor and optionally additional properties. All properties must be put in a logical connection to the object.
Mention the area, cover all entities and their respective properties, and describe the respective relations. Stick to the descriptions of entities and relations provided and don’t add anything. Stick to the values of each relation. Distances always refer to a maximum distance. Vary your phrasing. Do not affirm this request and return nothing but the answer.

 ==Persona==
expert fact checker 

 ==Style==
with very elaborate wording

==Input==
Search area:
- Chak Azam Saffo, Pakistan
Objects:
- Obj. 0: courthouse
- Obj. 1: observation tower
Distances:
- All objects are no more than seven thousand, four hundred inches from another.

Please take your time and make sure that all the provided information is contained in the sentence.",with very elaborate wording,expert fact checker
