query,prompt,style,persona
"area:
  type: area
  value: Stegaurach
entities:
- id: 0
  is_area: true
  name: recycling plant
  properties:
  - name: hedge
  - name: green waste
  type: nwr
- id: 1
  is_area: false
  name: betting house
  type: nwr
- id: 2
  is_area: true
  name: consular post
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 1.2 ft
- source: 0
  target: 2
  type: dist
  value: 1.2 ft
","Act as a legal professional: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request like someone in a hurry.
The sentence must use all of the following search criteria:
Search area: Stegaurach
Obj. 0: recycling plant, hedge, green waste
Obj. 1: betting house
Obj. 2: consular post
Distances:
All objects are in a radius of 1.2 feet",like someone in a hurry,legal professional
"area:
  type: area
  value: Montenero Val Cocchiara
entities:
- id: 0
  is_area: false
  name: trailer home
  type: nwr
","Act as a OSINT beginner: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request as a chain of thoughts split into multiple sentences.
The sentence must use all of the following search criteria:
Search area: Montenero Val Cocchiara
Obj. 0: trailer home
",as a chain of thoughts split into multiple sentences,OSINT beginner
"area:
  type: area
  value: Esguevillas de Esgueva, Spain
entities:
- id: 0
  is_area: true
  name: la luz del mundo temple
  type: nwr
","Act as a investigative journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request sloppy and quick, with spelling mistakes.
The user is searching for a location that fulfills the following search criteria:
Search area: Esguevillas de Esgueva, Spain
Obj. 0: la luz del mundo temple
","sloppy and quick, with spelling mistakes",investigative journalist
"area:
  type: area
  value: Victoria
entities:
- id: 0
  is_area: true
  name: vulcano edge
  type: nwr
- id: 1
  is_area: false
  name: medical supply store
  properties:
  - name: house number
    operator: '='
    value: '542'
  type: nwr
- id: 2
  is_area: true
  name: salt pond
  properties:
  - name: wall
  type: nwr
- id: 3
  is_area: true
  name: vulcano centre
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 100 m
- source: 1
  target: 2
  type: dist
  value: 1000 m
- source: 2
  target: 3
  type: dist
  value: 0.74 yd
","Act as a expert fact checker: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request in perfect grammar and clear wording.
The sentence must use all of the following search criteria:
Search area: Victoria
Obj. 0: vulcano edge
Obj. 1: medical supply store, house number: 542
Obj. 2: salt pond, wall
Obj. 3: vulcano centre
Distances:
Use this term to describe the spatial relation between Obj. 0 and 1 similar to (similar to ""X is _ Y""): near
Use this term to describe the spatial relation between Obj. 1 and 2 similar to (similar to ""X is _ Y""): on the edge
Obj. 2 is 0.74 yd away Obj. 3",in perfect grammar and clear wording,expert fact checker
"area:
  type: area
  value: Lombardy
entities:
- id: 0
  is_area: false
  name: tailor
  type: nwr
- id: 1
  is_area: false
  name: caravan
  type: nwr
- id: 2
  is_area: true
  name: house of god
  properties:
  - name: floors
    operator: '>'
    value: '258'
  - name: height
    operator: <
    value: 56227 m
  type: nwr
- id: 3
  is_area: true
  name: grandstand
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 0.48 mi
- source: 1
  target: 2
  type: dist
  value: 8.8 yd
- source: 2
  target: 3
  type: dist
  value: 250 m
","Act as a political journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request sloppy and quick, with spelling mistakes.
The user is searching for a corner that fulfills the following search criteria:
Search area: Lombardy
Obj. 0: tailor
Obj. 1: caravan
Obj. 2: house of god, floors: larger than 258, height: beneath 56227 m
Obj. 3: grandstand
Distances:
Obj. 0 is 0.48 miles away from Obj. 1
Obj. 1 is 8.8 yards away Obj. 2
Use this term to describe the spatial relation between Obj. 2 and 3 similar to (similar to ""X is _ Y""): on the opposite side","sloppy and quick, with spelling mistakes",political journalist
"area:
  type: area
  value: Smarano, Trentino-South Tyrol, Italy
entities:
- id: 0
  is_area: true
  name: picnic shelter
  properties:
  - name: house number
    operator: '='
    value: 47-02
  - name: railway station
  type: nwr
- id: 1
  is_area: false
  name: display
  type: nwr
- id: 2
  is_area: false
  name: city limit sign
  properties:
  - name: name
    operator: '~'
    value: Willow Drive
  type: nwr
- id: 3
  is_area: true
  name: cowshed
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 627.32 yd
- source: 1
  target: 2
  type: dist
  value: 64200 in
- source: 2
  target: 3
  type: dist
  value: 150 m
","Act as a expert fact checker: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request with very precise wording, short, to the point.
The user is searching for a place that fulfills the following search criteria:
Search area: Smarano, Trentino-South Tyrol, Italy
Obj. 0: picnic shelter, house number: 47-02, railway station
Obj. 1: display
Obj. 2: city limit sign, name:  ""Willow Drive""
Obj. 3: cowshed
Distances:
Obj. 0 is more or less 627.32 yd from Obj. 1
Obj. 1 is more or less sixty-four thousand, two hundred in away Obj. 2
Use this term to describe the spatial relation between Obj. 2 and 3 similar to (similar to ""X is _ Y""): close to","with very precise wording, short, to the point",expert fact checker
"area:
  type: area
  value: Sapol, Agusan del Sur, Philippines
entities:
- id: 0
  is_area: true
  name: riding hall
  type: nwr
","Act as a human rights abuse monitoring OSINT Expert: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request in perfect grammar and clear wording.
The sentence must use all of the following search criteria:
Search area: Sapol, Agusan del Sur, Philippines
Obj. 0: riding hall
",in perfect grammar and clear wording,human rights abuse monitoring OSINT Expert
"area:
  type: area
  value: ""Maracan\xE3, Par\xE1, Brazil""
entities:
- id: 0
  is_area: false
  name: computer store
  type: nwr
- id: 1
  is_area: false
  name: fire extinguisher
  type: nwr
- id: 2
  is_area: false
  name: jewelry shop
  type: nwr
- id: 3
  is_area: false
  name: cable way
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 100 m
- source: 1
  target: 2
  type: dist
  value: 1500 yd
- source: 2
  target: 3
  type: dist
  value: 525.6 mi
","Act as a investigative journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request in simple language.
The sentence must use all of the following search criteria:
Search area: Maracanã, Pará, Brazil
Obj. 0: computer store
Obj. 1: fire extinguisher
Obj. 2: jewelry shop
Obj. 3: cable way
Distances:
Use this term to describe the spatial relation between Obj. 0 and 1 similar to (similar to ""X is _ Y""): near
Obj. 1 is approximately one thousand, five hundred yards from Obj. 2
Obj. 2 is 525.6 miles away from Obj. 3",in simple language,investigative journalist
"area:
  type: area
  value: Bonnyrigg, New South Wales, Australia
entities:
- id: 0
  is_area: true
  name: grandstand
  properties:
  - name: brand name
    operator: '~'
    value: Jalan Raya Mondorok
  type: nwr
- id: 1
  is_area: false
  name: weir
  type: nwr
- id: 2
  is_area: true
  name: kingdom hall
  type: nwr
relations:
- source: 0
  target: 1
  type: contains
- source: 2
  target: 1
  type: dist
  value: 7356 cm
","Act as a legal professional: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request in perfect grammar and clear wording.
The user is searching for a corner that fulfills the following search criteria:
Search area: Bonnyrigg, New South Wales, Australia
Obj. 0: grandstand, brand name: begins with the letters ""Jalan Raya Mondorok""
Obj. 1: weir
Obj. 2: kingdom hall
Distances:
Obj. 1 is inside Obj. 0
Obj. 2 is at max 7356 centimeters away Obj. 1",in perfect grammar and clear wording,legal professional
"area:
  type: bbox
  value: ''
entities:
- id: 0
  is_area: false
  name: civic centre
  type: nwr
","Act as a legal professional: Return a sentence simulating a user using a natural language interface to search for specific geographic locations. Do not affirm this request and return nothing but the answers.
Write the search request with very elaborate wording.
The sentence must use all of the following search criteria:
Obj. 0: civic centre
",with very elaborate wording,legal professional
