query,prompt,style,persona,sentence
"area:
  type: area
  value: 佩莱格里诺-帕尔门塞, 艾米利亚-罗马涅大区, 意大利
entities:
- id: 0
  name: moving walkway
  type: nwr
- id: 1
  maxDistance: 16.36 km
  minPoints: 9
  name: danger area
  type: cluster
- id: 2
  maxDistance: 4497.7 yd
  minPoints: 11
  name: power substation
  type: cluster
relations:
- source: 1
  target: 0
  type: distance
  value: 1000 m
- source: 2
  target: 0
  type: contains
","You are an assistant that generates short, natural-sounding user queries based on structured geographic data in YAML format.

Imagine you're an investigative journalist or fact-checker, looking at an image or video of a real-world scene, and you're trying to describe what you see — the objects, places, and how they relate to one another. Your goal is to write what a regular person might type into a search box to describe or explore that scene.

The YAML provides a list of entities (e.g., landmarks, buildings, places, or objects), their properties, and how they are spatially related. Your task is to turn this into a natural, casual sentence or query — not a literal translation of the YAML structure.

Here’s how to approach it:
- Focus on the scene, not the data format. Don't copy the structure or terminology of the YAML. Instead, write as if you were describing the real-world layout to someone else.
- Use casual, human phrasing. Avoid technical terms like ""entity"", ""property"", or ""OSM key"".
- Translate tags into natural language. For example:
  - ""brand:Thalia"" → ""a Thalia""
  - ""brand~Eiffel"" + ""cafe"" → ""an Eiffel café""
  - ""cuisine~italian"" + ""restaurant"" → ""an Italian restaurant""
  - ""building:material=wood"" → ""made from wood""
  - ""roof:colour=red"" → ""with a red roof""

- Always reflect spatial relationships exactly as stated in the YAML:
  - If a distance is given, treat it as a maximum.
  - If a relation has a specified phrase (e.g., ""next to"", ""surrounded by""), use that exact phrase — don’t invent alternatives.
  - If no relation is provided, do not imply one (e.g., don’t say “near” or “close to” if not mentioned).

- Use number formatting like this: comma for thousands separators and period for decimals. Example: 10.000,00.
- Avoid repetition in phrasing across outputs. Write as naturally and varied as real users would.
- Only use the information in the YAML — and use all of it.

- If an entity/property combo is obviously nonsensical (e.g., a toilet or a street with a cuisine, a cliff with a brand etc.), return only:
 `UNREALISTIC COMBINATION`

==Persona==
legal professional 

 ==Style==
precise but using sophisticated words

==Input==
Search area:
- 佩莱格里诺-帕尔门塞, 艾米利亚-罗马涅大区, 意大利
Objects:
- Obj. 0: moving walkway
- Obj. 1: 9 x danger area, about 16.36 kilometers distance between the objects
- Obj. 2: 11 x power substation, no more than 4497.7 yd distance to another
Distances:
- Use this term to describe the spatial relation between the danger area and the moving walkway (similar to ""X is _ Y""): on the edge
- The moving walkway is in the power substation
Please take your time and make sure all the provided information is contained in the sentence. You are simulating the behavior of an experienced user prompting an online tool. Use short, clear, and natural language — avoid filler, overly formal language, over-explaining, or rhetorical phrasing.
Think of how real users would prompt after using the system for a while: concise, factual, and slightly varied, but always focused on the core facts.",precise but using sophisticated words,legal professional,"What is the situation of a moving walkway located in a power substation on the edge of a danger area, with other danger areas about 16.36 kilometers away and up to 11 power substations within 4,497.7 yards in 佩莱格里诺-帕尔门塞, 艾米利亚-罗马涅大区, 意大利?"
"area:
  type: bbox
entities:
- id: 0
  name: hotspot
  properties:
  - name: name
    operator: '~'
    value: Unicaja
  type: nwr
- id: 1
  name: tv tower
  type: nwr
- id: 2
  maxDistance: 91400 m
  minPoints: 4
  name: glacier
  type: cluster
relations:
- source: 0
  target: 1
  type: distance
  value: 8300 yd
- source: 1
  target: 2
  type: distance
  value: 87300 m
","You are an assistant that generates short, natural-sounding user queries based on structured geographic data in YAML format.

Imagine you're an investigative journalist or fact-checker, looking at an image or video of a real-world scene, and you're trying to describe what you see — the objects, places, and how they relate to one another. Your goal is to write what a regular person might type into a search box to describe or explore that scene.

The YAML provides a list of entities (e.g., landmarks, buildings, places, or objects), their properties, and how they are spatially related. Your task is to turn this into a natural, casual sentence or query — not a literal translation of the YAML structure.

Here’s how to approach it:
- Focus on the scene, not the data format. Don't copy the structure or terminology of the YAML. Instead, write as if you were describing the real-world layout to someone else.
- Use casual, human phrasing. Avoid technical terms like ""entity"", ""property"", or ""OSM key"".
- Translate tags into natural language. For example:
  - ""brand:Thalia"" → ""a Thalia""
  - ""brand~Eiffel"" + ""cafe"" → ""an Eiffel café""
  - ""cuisine~italian"" + ""restaurant"" → ""an Italian restaurant""
  - ""building:material=wood"" → ""made from wood""
  - ""roof:colour=red"" → ""with a red roof""

- Always reflect spatial relationships exactly as stated in the YAML:
  - If a distance is given, treat it as a maximum.
  - If a relation has a specified phrase (e.g., ""next to"", ""surrounded by""), use that exact phrase — don’t invent alternatives.
  - If no relation is provided, do not imply one (e.g., don’t say “near” or “close to” if not mentioned).

- Use number formatting like this: comma for thousands separators and period for decimals. Example: 10.000,00.
- Avoid repetition in phrasing across outputs. Write as naturally and varied as real users would.
- Only use the information in the YAML — and use all of it.

- If an entity/property combo is obviously nonsensical (e.g., a toilet or a street with a cuisine, a cliff with a brand etc.), return only:
 `UNREALISTIC COMBINATION`

==Persona==
investigative journalist 

 ==Style==
in clear, concise wording

==Input==
Objects:
- Obj. 0: hotspot | Properties -> name:  ""Unicaja""
- Obj. 1: tv tower
- Obj. 2: 4 x glacier, ninety-one thousand, four hundred m between each other
Distances:
- The hotspot is at max eight thousand three hundred yards away from the tv tower
- The tv tower is eighty-seven thousand, three hundred m from the glacier
Please take your time and make sure all the provided information is contained in the sentence. You are simulating the behavior of an experienced user prompting an online tool. Use short, clear, and natural language — avoid filler, overly formal language, over-explaining, or rhetorical phrasing.
Think of how real users would prompt after using the system for a while: concise, factual, and slightly varied, but always focused on the core facts.","in clear, concise wording",investigative journalist,"Where is the Unicaja hotspot located in relation to the TV tower and the glaciers, given the hotspot is no more than 8,300 yards from the TV tower, and the TV tower is 87,300 meters from the glaciers?"
"area:
  type: bbox
entities:
- id: 0
  name: pigeonhole
  type: nwr
- id: 1
  name: river
  type: nwr
relations:
- source: 0
  target: 1
  type: distance
  value: 59500 m
","You are an assistant that generates short, natural-sounding user queries based on structured geographic data in YAML format.

Imagine you're an investigative journalist or fact-checker, looking at an image or video of a real-world scene, and you're trying to describe what you see — the objects, places, and how they relate to one another. Your goal is to write what a regular person might type into a search box to describe or explore that scene.

The YAML provides a list of entities (e.g., landmarks, buildings, places, or objects), their properties, and how they are spatially related. Your task is to turn this into a natural, casual sentence or query — not a literal translation of the YAML structure.

Here’s how to approach it:
- Focus on the scene, not the data format. Don't copy the structure or terminology of the YAML. Instead, write as if you were describing the real-world layout to someone else.
- Use casual, human phrasing. Avoid technical terms like ""entity"", ""property"", or ""OSM key"".
- Translate tags into natural language. For example:
  - ""brand:Thalia"" → ""a Thalia""
  - ""brand~Eiffel"" + ""cafe"" → ""an Eiffel café""
  - ""cuisine~italian"" + ""restaurant"" → ""an Italian restaurant""
  - ""building:material=wood"" → ""made from wood""
  - ""roof:colour=red"" → ""with a red roof""

- Always reflect spatial relationships exactly as stated in the YAML:
  - If a distance is given, treat it as a maximum.
  - If a relation has a specified phrase (e.g., ""next to"", ""surrounded by""), use that exact phrase — don’t invent alternatives.
  - If no relation is provided, do not imply one (e.g., don’t say “near” or “close to” if not mentioned).

- Use number formatting like this: comma for thousands separators and period for decimals. Example: 10,000.00.
- Avoid repetition in phrasing across outputs. Write as naturally and varied as real users would.
- Only use the information in the YAML — and use all of it.

- If an entity/property combo is obviously nonsensical (e.g., a toilet or a street with a cuisine, a cliff with a brand etc.), return only:
 `UNREALISTIC COMBINATION`

==Persona==
investigative journalist 

 ==Style==
precise but using sophisticated words

==Other specifications==
The text should contain a large amount of typos.

==Input==
Objects:
- Obj. 0: pigeonhole
- Obj. 1: river
Distances:
- All objects are in a radius of fifty-nine thousand, five hundred meters.
Please take your time and make sure all the provided information is contained in the sentence. You are simulating the behavior of an experienced user prompting an online tool. Use short, clear, and natural language — avoid filler, overly formal language, over-explaining, or rhetorical phrasing.
Think of how real users would prompt after using the system for a while: concise, factual, and slightly varied, but always focused on the core facts.",precise but using sophisticated words,investigative journalist,"Pigeonhole and river are within 59,500 meters of each other."
"area:
  type: area
  value: Aguilar de Codés, Spain
entities:
- id: 0
  name: abandoned train track
  type: nwr
- id: 1
  name: public transport routes
  properties:
  - name: colour
    operator: '='
    value: blush
  type: nwr
- id: 2
  name: toilet facility
  properties:
  - name: building number
    operator: '='
    value: '963'
  - name: floors
    operator: '>'
    value: '20'
  type: nwr
relations:
- source: 0
  target: 1
  type: distance
  value: 69200 km
- source: 0
  target: 2
  type: distance
  value: 69200 km
","You are an assistant that generates short, natural-sounding user queries based on structured geographic data in YAML format.

Imagine you're an investigative journalist or fact-checker, looking at an image or video of a real-world scene, and you're trying to describe what you see — the objects, places, and how they relate to one another. Your goal is to write what a regular person might type into a search box to describe or explore that scene.

The YAML provides a list of entities (e.g., landmarks, buildings, places, or objects), their properties, and how they are spatially related. Your task is to turn this into a natural, casual sentence or query — not a literal translation of the YAML structure.

Here’s how to approach it:
- Focus on the scene, not the data format. Don't copy the structure or terminology of the YAML. Instead, write as if you were describing the real-world layout to someone else.
- Use casual, human phrasing. Avoid technical terms like ""entity"", ""property"", or ""OSM key"".
- Translate tags into natural language. For example:
  - ""brand:Thalia"" → ""a Thalia""
  - ""brand~Eiffel"" + ""cafe"" → ""an Eiffel café""
  - ""cuisine~italian"" + ""restaurant"" → ""an Italian restaurant""
  - ""building:material=wood"" → ""made from wood""
  - ""roof:colour=red"" → ""with a red roof""

- Always reflect spatial relationships exactly as stated in the YAML:
  - If a distance is given, treat it as a maximum.
  - If a relation has a specified phrase (e.g., ""next to"", ""surrounded by""), use that exact phrase — don’t invent alternatives.
  - If no relation is provided, do not imply one (e.g., don’t say “near” or “close to” if not mentioned).

- Use number formatting like this: comma for thousands separators and period for decimals. Example: 10.000,00.
- Avoid repetition in phrasing across outputs. Write as naturally and varied as real users would.
- Only use the information in the YAML — and use all of it.

- If an entity/property combo is obviously nonsensical (e.g., a toilet or a street with a cuisine, a cliff with a brand etc.), return only:
 `UNREALISTIC COMBINATION`

==Persona==
legal professional 

 ==Style==
with very precise wording, short, to the point

==Other specifications==
The text should contain a large amount of grammar mistakes.

==Input==
Search area:
- Aguilar de Codés, Spain
Objects:
- Obj. 0: abandoned train track
- Obj. 1: public transport routes | Properties -> colour: blush
- Obj. 2: toilet facility | Properties -> building number: 963, floors: larger than 20
Distances:
- All objects are no more than sixty-nine thousand two hundred kilometers from another.
Please take your time and make sure all the provided information is contained in the sentence. You are simulating the behavior of an experienced user prompting an online tool. Use short, clear, and natural language — avoid filler, overly formal language, over-explaining, or rhetorical phrasing.
Think of how real users would prompt after using the system for a while: concise, factual, and slightly varied, but always focused on the core facts.","with very precise wording, short, to the point",legal professional,UNREALISTIC COMBINATION
"area:
  type: area
  value: Domodossola, Italy
entities:
- id: 0
  name: toilet building
  properties:
  - name: cuisine
    operator: '='
    value: african
  type: nwr
- id: 1
  maxDistance: 7.67 m
  minPoints: 8
  name: orthodontist
  type: cluster
relations:
- source: 0
  target: 1
  type: contains
","You are an assistant that generates short, natural-sounding user queries based on structured geographic data in YAML format.

Imagine you're an investigative journalist or fact-checker, looking at an image or video of a real-world scene, and you're trying to describe what you see — the objects, places, and how they relate to one another. Your goal is to write what a regular person might type into a search box to describe or explore that scene.

The YAML provides a list of entities (e.g., landmarks, buildings, places, or objects), their properties, and how they are spatially related. Your task is to turn this into a natural, casual sentence or query — not a literal translation of the YAML structure.

Here’s how to approach it:
- Focus on the scene, not the data format. Don't copy the structure or terminology of the YAML. Instead, write as if you were describing the real-world layout to someone else.
- Use casual, human phrasing. Avoid technical terms like ""entity"", ""property"", or ""OSM key"".
- Translate tags into natural language. For example:
  - ""brand:Thalia"" → ""a Thalia""
  - ""brand~Eiffel"" + ""cafe"" → ""an Eiffel café""
  - ""cuisine~italian"" + ""restaurant"" → ""an Italian restaurant""
  - ""building:material=wood"" → ""made from wood""
  - ""roof:colour=red"" → ""with a red roof""

- Always reflect spatial relationships exactly as stated in the YAML:
  - If a distance is given, treat it as a maximum.
  - If a relation has a specified phrase (e.g., ""next to"", ""surrounded by""), use that exact phrase — don’t invent alternatives.
  - If no relation is provided, do not imply one (e.g., don’t say “near” or “close to” if not mentioned).

- Use number formatting like this: comma for thousands separators and period for decimals. Example: 10.000,00.
- Avoid repetition in phrasing across outputs. Write as naturally and varied as real users would.
- Only use the information in the YAML — and use all of it.

- If an entity/property combo is obviously nonsensical (e.g., a toilet or a street with a cuisine, a cliff with a brand etc.), return only:
 `UNREALISTIC COMBINATION`

==Persona==
hobby fact checker 

 ==Style==
in clear, concise wording

==Other specifications==
The text should contain a large amount of typos and grammar mistakes.

==Input==
Search area:
- Domodossola, Italy
Objects:
- Obj. 0: toilet building | Properties -> cuisine: african
- Obj. 1: 8 x orthodontist, approximately 7.67 m distance between each other
Distances:
- The orthodontist is contained in the toilet building
Please take your time and make sure all the provided information is contained in the sentence. You are simulating the behavior of an experienced user prompting an online tool. Use short, clear, and natural language — avoid filler, overly formal language, over-explaining, or rhetorical phrasing.
Think of how real users would prompt after using the system for a while: concise, factual, and slightly varied, but always focused on the core facts.","in clear, concise wording",hobby fact checker,UNREALISTIC COMBINATION
"area:
  type: area
  value: Cayhagan, Antique, Philippines
entities:
- id: 0
  maxDistance: 8.0 m
  minPoints: 18
  name: picnic table
  type: cluster
","You are an assistant that generates short, natural-sounding user queries based on structured geographic data in YAML format.

Imagine you're an investigative journalist or fact-checker, looking at an image or video of a real-world scene, and you're trying to describe what you see — the objects, places, and how they relate to one another. Your goal is to write what a regular person might type into a search box to describe or explore that scene.

The YAML provides a list of entities (e.g., landmarks, buildings, places, or objects), their properties, and how they are spatially related. Your task is to turn this into a natural, casual sentence or query — not a literal translation of the YAML structure.

Here’s how to approach it:
- Focus on the scene, not the data format. Don't copy the structure or terminology of the YAML. Instead, write as if you were describing the real-world layout to someone else.
- Use casual, human phrasing. Avoid technical terms like ""entity"", ""property"", or ""OSM key"".
- Translate tags into natural language. For example:
  - ""brand:Thalia"" → ""a Thalia""
  - ""brand~Eiffel"" + ""cafe"" → ""an Eiffel café""
  - ""cuisine~italian"" + ""restaurant"" → ""an Italian restaurant""
  - ""building:material=wood"" → ""made from wood""
  - ""roof:colour=red"" → ""with a red roof""

- Always reflect spatial relationships exactly as stated in the YAML:
  - If a distance is given, treat it as a maximum.
  - If a relation has a specified phrase (e.g., ""next to"", ""surrounded by""), use that exact phrase — don’t invent alternatives.
  - If no relation is provided, do not imply one (e.g., don’t say “near” or “close to” if not mentioned).

- Use number formatting like this: comma for thousands separators and period for decimals. Example: 10,000.00.
- Avoid repetition in phrasing across outputs. Write as naturally and varied as real users would.
- Only use the information in the YAML — and use all of it.

- If an entity/property combo is obviously nonsensical (e.g., a toilet or a street with a cuisine, a cliff with a brand etc.), return only:
 `UNREALISTIC COMBINATION`

==Persona==
investigative journalist 

 ==Style==
with very precise wording, short, to the point

==Other specifications==
The text should contain a medium amount of typos and grammar mistakes.

==Input==
Search area:
- Cayhagan, Antique, Philippines
Objects:
- Obj. 0: 18 x picnic table, 8.0 meters distance to another
Distances:
No distance is given.Please take your time and make sure all the provided information is contained in the sentence. You are simulating the behavior of an experienced user prompting an online tool. Use short, clear, and natural language — avoid filler, overly formal language, over-explaining, or rhetorical phrasing.
Think of how real users would prompt after using the system for a while: concise, factual, and slightly varied, but always focused on the core facts.","with very precise wording, short, to the point",investigative journalist,"Picnic tables in Cayhagan, Antique, Philippines, 18 of them, each 8 meters apart."
"area:
  type: area
  value: Baden-Württemberg
entities:
- id: 0
  maxDistance: 400 cm
  minPoints: 13
  name: tram stop
  type: cluster
- id: 1
  name: production studio
  type: nwr
- id: 2
  name: toilet building
  properties:
  - name: name
    operator: '~'
    value: Prima
  type: nwr
relations:
- source: 2
  target: 0
  type: contains
- source: 2
  target: 1
  type: contains
","You are an assistant that generates short, natural-sounding user queries based on structured geographic data in YAML format.

Imagine you're an investigative journalist or fact-checker, looking at an image or video of a real-world scene, and you're trying to describe what you see — the objects, places, and how they relate to one another. Your goal is to write what a regular person might type into a search box to describe or explore that scene.

The YAML provides a list of entities (e.g., landmarks, buildings, places, or objects), their properties, and how they are spatially related. Your task is to turn this into a natural, casual sentence or query — not a literal translation of the YAML structure.

Here’s how to approach it:
- Focus on the scene, not the data format. Don't copy the structure or terminology of the YAML. Instead, write as if you were describing the real-world layout to someone else.
- Use casual, human phrasing. Avoid technical terms like ""entity"", ""property"", or ""OSM key"".
- Translate tags into natural language. For example:
  - ""brand:Thalia"" → ""a Thalia""
  - ""brand~Eiffel"" + ""cafe"" → ""an Eiffel café""
  - ""cuisine~italian"" + ""restaurant"" → ""an Italian restaurant""
  - ""building:material=wood"" → ""made from wood""
  - ""roof:colour=red"" → ""with a red roof""

- Always reflect spatial relationships exactly as stated in the YAML:
  - If a distance is given, treat it as a maximum.
  - If a relation has a specified phrase (e.g., ""next to"", ""surrounded by""), use that exact phrase — don’t invent alternatives.
  - If no relation is provided, do not imply one (e.g., don’t say “near” or “close to” if not mentioned).

- Use number formatting like this: comma for thousands separators and period for decimals. Example: 10,000.00.
- Avoid repetition in phrasing across outputs. Write as naturally and varied as real users would.
- Only use the information in the YAML — and use all of it.

- If an entity/property combo is obviously nonsensical (e.g., a toilet or a street with a cuisine, a cliff with a brand etc.), return only:
 `UNREALISTIC COMBINATION`

==Persona==
investigative journalist 

 ==Style==
in short, simple language

==Input==
Search area:
- Baden-Württemberg
Objects:
- Obj. 0: 13 x tram stop, at max four hundred cm distance between the objects
- Obj. 1: production studio
- Obj. 2: toilet building | Properties -> name:  ""Prima""
Distances:
- The tram stop is contained in the toilet building
- The production studio is contained in the toilet building
Please take your time and make sure all the provided information is contained in the sentence. You are simulating the behavior of an experienced user prompting an online tool. Use short, clear, and natural language — avoid filler, overly formal language, over-explaining, or rhetorical phrasing.
Think of how real users would prompt after using the system for a while: concise, factual, and slightly varied, but always focused on the core facts.","in short, simple language",investigative journalist,"Is there a toilet building called ""Prima"" in Baden-Württemberg that houses a production studio and 13 tram stops within a distance of up to 400 cm from each other?"
"area:
  type: area
  value: Bad Sauerbrunn, Austria
entities:
- id: 0
  name: quarry
  type: nwr
- id: 1
  name: public toilet
  properties:
  - name: levels
    operator: '>'
    value: '2'
  type: nwr
- id: 2
  name: canteen
  properties:
  - name: cuisine
    operator: '='
    value: turkish
  type: nwr
","You are an assistant that generates short, natural-sounding user queries based on structured geographic data in YAML format.

Imagine you're an investigative journalist or fact-checker, looking at an image or video of a real-world scene, and you're trying to describe what you see — the objects, places, and how they relate to one another. Your goal is to write what a regular person might type into a search box to describe or explore that scene.

The YAML provides a list of entities (e.g., landmarks, buildings, places, or objects), their properties, and how they are spatially related. Your task is to turn this into a natural, casual sentence or query — not a literal translation of the YAML structure.

Here’s how to approach it:
- Focus on the scene, not the data format. Don't copy the structure or terminology of the YAML. Instead, write as if you were describing the real-world layout to someone else.
- Use casual, human phrasing. Avoid technical terms like ""entity"", ""property"", or ""OSM key"".
- Translate tags into natural language. For example:
  - ""brand:Thalia"" → ""a Thalia""
  - ""brand~Eiffel"" + ""cafe"" → ""an Eiffel café""
  - ""cuisine~italian"" + ""restaurant"" → ""an Italian restaurant""
  - ""building:material=wood"" → ""made from wood""
  - ""roof:colour=red"" → ""with a red roof""

- Always reflect spatial relationships exactly as stated in the YAML:
  - If a distance is given, treat it as a maximum.
  - If a relation has a specified phrase (e.g., ""next to"", ""surrounded by""), use that exact phrase — don’t invent alternatives.
  - If no relation is provided, do not imply one (e.g., don’t say “near” or “close to” if not mentioned).

- Use number formatting like this: comma for thousands separators and period for decimals. Example: 10,000.00.
- Avoid repetition in phrasing across outputs. Write as naturally and varied as real users would.
- Only use the information in the YAML — and use all of it.

- If an entity/property combo is obviously nonsensical (e.g., a toilet or a street with a cuisine, a cliff with a brand etc.), return only:
 `UNREALISTIC COMBINATION`

==Persona==
human rights abuse monitoring OSINT Expert 

 ==Style==
precise but using sophisticated words

==Other specifications==
The text should contain a small amount of typos.

==Input==
Search area:
- Bad Sauerbrunn, Austria
Objects:
- Obj. 0: quarry
- Obj. 1: public toilet | Properties -> levels: greater than 2
- Obj. 2: canteen | Properties -> cuisine: turkish
Distances:
No distance is given.Please take your time and make sure all the provided information is contained in the sentence. You are simulating the behavior of an experienced user prompting an online tool. Use short, clear, and natural language — avoid filler, overly formal language, over-explaining, or rhetorical phrasing.
Think of how real users would prompt after using the system for a while: concise, factual, and slightly varied, but always focused on the core facts.",precise but using sophisticated words,human rights abuse monitoring OSINT Expert,"Where can I find a Turkish canteen, a public toilet with more than two levels, and a quarry in Bad Sauerbrunn, Austria?"
"area:
  type: area
  value: Ilocos
entities:
- id: 0
  name: military base
  type: nwr
- id: 1
  maxDistance: 1500 mi
  minPoints: 3
  name: green waste
  type: cluster
- id: 2
  name: conservatory
  type: nwr
relations:
- source: 0
  target: 1
  type: distance
  value: 1000 m
- source: 1
  target: 2
  type: distance
  value: 8763.7 cm
","You are an assistant that generates short, natural-sounding user queries based on structured geographic data in YAML format.

Imagine you're an investigative journalist or fact-checker, looking at an image or video of a real-world scene, and you're trying to describe what you see — the objects, places, and how they relate to one another. Your goal is to write what a regular person might type into a search box to describe or explore that scene.

The YAML provides a list of entities (e.g., landmarks, buildings, places, or objects), their properties, and how they are spatially related. Your task is to turn this into a natural, casual sentence or query — not a literal translation of the YAML structure.

Here’s how to approach it:
- Focus on the scene, not the data format. Don't copy the structure or terminology of the YAML. Instead, write as if you were describing the real-world layout to someone else.
- Use casual, human phrasing. Avoid technical terms like ""entity"", ""property"", or ""OSM key"".
- Translate tags into natural language. For example:
  - ""brand:Thalia"" → ""a Thalia""
  - ""brand~Eiffel"" + ""cafe"" → ""an Eiffel café""
  - ""cuisine~italian"" + ""restaurant"" → ""an Italian restaurant""
  - ""building:material=wood"" → ""made from wood""
  - ""roof:colour=red"" → ""with a red roof""

- Always reflect spatial relationships exactly as stated in the YAML:
  - If a distance is given, treat it as a maximum.
  - If a relation has a specified phrase (e.g., ""next to"", ""surrounded by""), use that exact phrase — don’t invent alternatives.
  - If no relation is provided, do not imply one (e.g., don’t say “near” or “close to” if not mentioned).

- Use number formatting like this: comma for thousands separators and period for decimals. Example: 10.000,00.
- Avoid repetition in phrasing across outputs. Write as naturally and varied as real users would.
- Only use the information in the YAML — and use all of it.

- If an entity/property combo is obviously nonsensical (e.g., a toilet or a street with a cuisine, a cliff with a brand etc.), return only:
 `UNREALISTIC COMBINATION`

==Persona==
expert fact checker 

 ==Style==
in clear, concise wording

==Input==
Search area:
- Ilocos
Objects:
- Obj. 0: military base
- Obj. 1: 3 x green waste, around one thousand, five hundred mi to another
- Obj. 2: conservatory
Distances:
- Use this term to describe the spatial relation between the military base and the green waste (similar to ""X is _ Y""): on the edge
- The green waste is 8763.7 centimeters away from the conservatory
Please take your time and make sure all the provided information is contained in the sentence. You are simulating the behavior of an experienced user prompting an online tool. Use short, clear, and natural language — avoid filler, overly formal language, over-explaining, or rhetorical phrasing.
Think of how real users would prompt after using the system for a while: concise, factual, and slightly varied, but always focused on the core facts.","in clear, concise wording",expert fact checker,"What is a military base on the edge of three green waste sites, each about 1,500 miles apart, with the green waste being 87.637 meters from a conservatory in Ilocos?"
"area:
  type: area
  value: Општина Сан Мигел Панистлавака (Оахака), Мексико
entities:
- id: 0
  name: health institution
  type: nwr
- id: 1
  name: food counter
  properties:
  - name: floors
    operator: '='
    value: '5'
  type: nwr
- id: 2
  name: amusement arcade
  type: nwr
relations:
- source: 0
  target: 1
  type: distance
  value: 400 m
- source: 1
  target: 2
  type: distance
  value: 52300 ft
","You are an assistant that generates short, natural-sounding user queries based on structured geographic data in YAML format.

Imagine you're an investigative journalist or fact-checker, looking at an image or video of a real-world scene, and you're trying to describe what you see — the objects, places, and how they relate to one another. Your goal is to write what a regular person might type into a search box to describe or explore that scene.

The YAML provides a list of entities (e.g., landmarks, buildings, places, or objects), their properties, and how they are spatially related. Your task is to turn this into a natural, casual sentence or query — not a literal translation of the YAML structure.

Here’s how to approach it:
- Focus on the scene, not the data format. Don't copy the structure or terminology of the YAML. Instead, write as if you were describing the real-world layout to someone else.
- Use casual, human phrasing. Avoid technical terms like ""entity"", ""property"", or ""OSM key"".
- Translate tags into natural language. For example:
  - ""brand:Thalia"" → ""a Thalia""
  - ""brand~Eiffel"" + ""cafe"" → ""an Eiffel café""
  - ""cuisine~italian"" + ""restaurant"" → ""an Italian restaurant""
  - ""building:material=wood"" → ""made from wood""
  - ""roof:colour=red"" → ""with a red roof""

- Always reflect spatial relationships exactly as stated in the YAML:
  - If a distance is given, treat it as a maximum.
  - If a relation has a specified phrase (e.g., ""next to"", ""surrounded by""), use that exact phrase — don’t invent alternatives.
  - If no relation is provided, do not imply one (e.g., don’t say “near” or “close to” if not mentioned).

- Use number formatting like this: comma for thousands separators and period for decimals. Example: 10.000,00.
- Avoid repetition in phrasing across outputs. Write as naturally and varied as real users would.
- Only use the information in the YAML — and use all of it.

- If an entity/property combo is obviously nonsensical (e.g., a toilet or a street with a cuisine, a cliff with a brand etc.), return only:
 `UNREALISTIC COMBINATION`

==Persona==
hobby fact checker 

 ==Style==
precise but using sophisticated words

==Input==
Search area:
- Општина Сан Мигел Панистлавака (Оахака), Мексико
Objects:
- Obj. 0: health institution
- Obj. 1: food counter | Properties -> floors: 5
- Obj. 2: amusement arcade
Distances:
- The health institution is less than four hundred m away from the food counter
- The food counter is no more than fifty-two thousand, three hundred ft from the amusement arcade
Please take your time and make sure all the provided information is contained in the sentence. You are simulating the behavior of an experienced user prompting an online tool. Use short, clear, and natural language — avoid filler, overly formal language, over-explaining, or rhetorical phrasing.
Think of how real users would prompt after using the system for a while: concise, factual, and slightly varied, but always focused on the core facts.",precise but using sophisticated words,hobby fact checker,"What's the layout of the area around a five-story food counter less than 400 meters from a health institution and within 52,300 feet of an amusement arcade in San Miguel Panistlava, Oaxaca, Mexico?"
