query,prompt,style,persona,sentence
"area:
  type: bbox
  value: ''
entities:
- id: 0
  is_area: false
  name: radio antenna
  type: nwr
- id: 1
  is_area: false
  name: hairdresser
  properties:
  - name: building number
    operator: '='
    value: 60/62
  type: nwr
- id: 2
  is_area: false
  name: office of a political party
  type: nwr
","Act as a legal professional: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request with very precise wording, short, to the point.
The text should contain a small amount of typos and grammar mistakes.
The sentence must use all of the following search criteria:
Objects:
- Obj. 0: radio antenna
- Obj. 1: hairdresser, building number: 60/62
- Obj. 2: office of a political party
Please take your time and make sure that all the provided information is contained in the sentence.","with very precise wording, short, to the point",legal professional,Locate radio antenna near hairdresser (bld. 60/62) and office of political party.
"area:
  type: area
  value: Tanawha, Queensland, Australia
entities:
- id: 0
  is_area: true
  name: valley
  type: nwr
- id: 1
  is_area: false
  name: historic monument
  type: nwr
","Act as a expert fact checker: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request in simple language.
The text should contain a small amount of typos and grammar mistakes.
The sentence must use all of the following search criteria:
Search area:
- Tanawha, Queensland, Australia
Objects:
- Obj. 0: valley
- Obj. 1: historic monument
Please take your time and make sure that all the provided information is contained in the sentence.",in simple language,expert fact checker,"Show me a historic monument near a valley in Tanawha, Queensland, Austrlia."
"area:
  type: area
  value: Smala, Relizane, Algeria
entities:
- id: 0
  is_area: true
  name: handball
  type: nwr
","Act as a investigative journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request as a chain of thoughts split into multiple sentences.
The text should contain a large amount of typos.
The sentence must use all of the following search criteria:
Search area:
- Smala, Relizane, Algeria
Objects:
- Obj. 0: handball
Please take your time and make sure that all the provided information is contained in the sentence.",as a chain of thoughts split into multiple sentences,investigative journalist,"I'm looking for a place in Smala, Relizane, Algeria... There's a handball court, or maybe just a field where people play handball... It's near a school or a park, maybe?... The handball court should have some kind of markings, lines... and maybe there are some benches close by... I'm not sure if it's an official court or just a play area... But it's definitely in Smala, Relizane, Algeria..."
"area:
  type: area
  value: Derazhnya, Ukraine
entities:
- id: 0
  is_area: true
  name: abandoned
  type: nwr
- id: 1
  is_area: false
  name: mast
  type: nwr
relations:
- source: 0
  target: 1
  type: contains
","Act as a hobby fact checker: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request in perfect grammar and clear wording.
The text should contain a large amount of typos.
The sentence must use all of the following search criteria:
Search area:
- Derazhnya, Ukraine
Objects:
- Obj. 0: abandoned
- Obj. 1: mast
Distances:
- Obj. 1 is contained in Obj. 0
Please take your time and make sure that all the provided information is contained in the sentence.",in perfect grammar and clear wording,hobby fact checker,"Find an abandoned location in Derazhnya, Ukraine, containing a mast."
"area:
  type: bbox
  value: ''
entities:
- id: 0
  is_area: true
  name: public exercise
  properties:
  - name: name
    operator: '~'
    value: e d
  type: nwr
- id: 1
  is_area: false
  name: second hand shop
  type: nwr
- id: 2
  is_area: false
  name: chimney
  type: nwr
relations:
- source: 0
  target: 1
  type: contains
- source: 2
  target: 1
  type: dist
  value: 100 m
","Act as a OSINT beginner: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request as a chain of thoughts split into multiple sentences.
The text should contain a large amount of typos and grammar mistakes.
You are searching for a location that fulfills all of the following search criteria:
Objects:
- Obj. 0: public exercise, name: begins with the letters ""e d""
- Obj. 1: second hand shop
- Obj. 2: chimney
Distances:
- Obj. 1 is inside Obj. 0
- Use this term to describe the spatial relation between Obj. 2 and 1 similar to (similar to ""X is _ Y""): near
Please take your time and make sure that all the provided information is contained in the sentence.",as a chain of thoughts split into multiple sentences,OSINT beginner,"I'm looking for a place where theres a public exersise spot, the name starts with ""e d"" and inside that theres a second hand shop. Also, a chimeny is near the second hand shop."
"area:
  type: area
  value: Kent Town, Australia
entities:
- id: 0
  is_area: true
  name: water reservoir
  type: nwr
- id: 1
  is_area: true
  name: cricket field
  type: nwr
- id: 2
  is_area: true
  name: golf facility
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 2400 mi
- source: 0
  target: 2
  type: dist
  value: 2400 mi
","Act as a political journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request in perfect grammar and clear wording.
The text should contain a small amount of typos.
The sentence must use all of the following search criteria:
Search area:
- Kent Town, Australia
Objects:
- Obj. 0: water reservoir
- Obj. 1: cricket field
- Obj. 2: golf facility
Distances:
- All objects are in a radius of two thousand, four hundred miles.
Please take your time and make sure that all the provided information is contained in the sentence.",in perfect grammar and clear wording,political journalist,"Can you find a water reservoir, a cricket field, and a golf facility all located within a radius of 2,400 miles from Kent Town, Australia?"
"area:
  type: area
  value: Parque de Poblamiento Solidaridad, Mexico
entities:
- id: 0
  is_area: false
  name: mobile phone shop
  type: nwr
- id: 1
  is_area: false
  name: war trench
  type: nwr
- id: 2
  is_area: false
  name: fire alarm box
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 25 m
- source: 1
  target: 2
  type: dist
  value: 29446 m
","Act as a expert fact checker: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request with very elaborate wording.
The text should contain a medium amount of typos and grammar mistakes.
You are searching for an area that fulfills all of the following search criteria:
Search area:
- Parque de Poblamiento Solidaridad, Mexico
Objects:
- Obj. 0: mobile phone shop
- Obj. 1: war trench
- Obj. 2: fire alarm box
Distances:
- Use this term to describe the spatial relation between Obj. 0 and 1 similar to (similar to ""X is _ Y""): enclosed by
- Obj. 1 is at least 29446 meters away Obj. 2
Please take your time and make sure that all the provided information is contained in the sentence.",with very elaborate wording,expert fact checker,"Where can I find a mobile phone shop enclosed by a war trench, with the war trench being at least 29446 meters away from a fire alarm box, in the Parque de Poblamiento Solidaridad, Mexico?"
"area:
  type: area
  value: ""San \xC1ngel""
entities:
- id: 0
  is_area: false
  name: alcohol shop
  type: nwr
- id: 1
  is_area: false
  name: green waste
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 69 ft
","Act as a investigative journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request in simple language.
The sentence must use all of the following search criteria:
Search area:
- San Ángel
Objects:
- Obj. 0: alcohol shop
- Obj. 1: green waste
Distances:
- All objects are within 69 ft.
Please take your time and make sure that all the provided information is contained in the sentence.",in simple language,investigative journalist,Find an alcohol shop and green waste within 69 ft in San Ángel.
"area:
  type: bbox
  value: ''
entities:
- id: 0
  is_area: false
  name: commemorative plaque
  type: nwr
","Act as a political journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request with very precise wording, short, to the point.
You are searching for a location that fulfills all of the following search criteria:
Objects:
- Obj. 0: commemorative plaque
Please take your time and make sure that all the provided information is contained in the sentence.","with very precise wording, short, to the point",political journalist,Search for a commemorative plaque located between a historic monument and a public fountain within a city park.
"area:
  type: area
  value: Prahova County
entities:
- id: 0
  is_area: false
  name: driver training
  type: nwr
- id: 1
  is_area: false
  name: garbage incinerator
  properties:
  - name: industrial park
  - name: brand name
    operator: '~'
    value: ""ltj\xE4rnen""
  - name: fence
  type: nwr
- id: 2
  is_area: true
  name: office block
  properties:
  - name: floors
    operator: '='
    value: '25'
  type: nwr
- id: 3
  is_area: false
  name: dry dock
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 500 in
- source: 1
  target: 2
  type: dist
  value: 250 m
- source: 2
  target: 3
  type: dist
  value: 9000 ft
","Act as a OSINT beginner: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request with very elaborate wording.
The text should contain a medium amount of typos and grammar mistakes.
The sentence must use all of the following search criteria:
Search area:
- Prahova County
Objects:
- Obj. 0: driver training
- Obj. 1: garbage incinerator, industrial park, brand name: contains the letters ""ltjärnen"", fence
- Obj. 2: office block, floors: 25
- Obj. 3: dry dock
Distances:
- Obj. 0 is at max five hundred in away Obj. 1
- Use this term to describe the spatial relation between Obj. 1 and 2 similar to (similar to ""X is _ Y""): on the opposite side
- Obj. 2 is more or less nine thousand feet from Obj. 3
Please take your time and make sure that all the provided information is contained in the sentence.",with very elaborate wording,OSINT beginner,"In Prahova County, I'm looking for a location where a driver training area is situated within 500 meters of a garbage incinerator that's in an industrial park and has a brand name containing the letters ""ltjärnen"" and is surrounded by a fence; the industrial park should be on the opposite side of a 25-floor office block, which itself is approximately 9000 feet from a dry dock."
